"tramite_audiencia_name","tramite_audiencia_date","tramite_audiencia_numero_processo"
"INICIAL","2016-12-02","0022038-21.2016.5.04.0030"
"PERÍCIA","2016-12-06",""
"PERÍCIA","2016-12-09","637"
"INSTRUÇÃO","2016-11-08","0021768-31.2015.5.04.0030"
"INSTRUÇÃO","2018-09-18","0001317-52.2015.5.07.0013"
"INSTRUÇÃO","2016-11-10","0020704-83.2015.5.04.0030"
"JULGAMENTO","2016-10-03","0020856-97.2016.5.04.0030"
"PERÍCIA","2016-11-10",""
"JULGAMENTO","2016-12-07","0020625-24.2014.5.04.0030"
"INICIAL","2016-09-20",""
"JULGAMENTO","2016-09-28","001/1.13.0251511-0"
"PERÍCIA","2016-12-14",""
"PERÍCIA","2017-03-08",""
"OITIVA DE TESTEMUNHAS","2017-03-14","0021528-08.2016.5.04.0030"
"PERÍCIA","2017-03-20","001/1.16.0143839-8"
"JULGAMENTO","2016-12-14","5032050-60.2015.4.04.7100"
"PERÍCIA","2017-01-25",""
"INICIAL","2017-04-04","0021844-94.2016.5.04.0232"
"INICIAL","2016-11-24",""
"PERÍCIA","2017-02-15",""
"PERÍCIA","2017-02-17","001/1.16.0099726-1"
"INICIAL","2017-12-05","0021679-88.2017.5.04.0401"
"PERÍCIA","2016-10-27","0020837-72.2016.5.04.0101"
"PERÍCIA","2016-10-27","0020793-43.2014.5.04.0030"
"PERÍCIA","2016-11-25",""
"JULGAMENTO","2016-10-27","0020397-03.2013.5.04.0030"
"JULGAMENTO","2016-10-26",""
"JULGAMENTO","2016-11-24","001/1.12.0214391-2"
"PERÍCIA","2016-11-04",""
"PERÍCIA","2016-10-17",""
"PERÍCIA","2016-11-07",""
"JULGAMENTO","2016-11-23","001/1.12.0293048-5"
"PERÍCIA","2016-08-30","001/1.15.0090992-1"
"PERÍCIA","2016-08-05","5044754-71.2016.4.04.7100"
"CONCILIAÇÃO","2016-11-29","001/1.16.0129452-3"
"JULGAMENTO","2016-11-03","001/1.14.0247954-0"
"JULGAMENTO","2016-12-01","5036186-03.2015.4.04.7100"
"PERÍCIA","2017-04-07","003/1.17.0001544-7"
"INICIAL","2016-10-20",""
"PERÍCIA","2016-10-05",""
"PERÍCIA","2016-12-14",""
"PERÍCIA","2017-04-13","0020793-43.2014.5.04.0030"
"PERÍCIA","2018-03-07","0021417-11.2017.5.04.0023"
"PERÍCIA","2016-09-29","0021111-55.2016.5.04.0030"
"PERÍCIA","2016-09-29","0021111-55.2016.5.04.0030"
"PERÍCIA","2016-10-03",""
"PERÍCIA","2016-10-05",""
"PERÍCIA","2016-12-29",""
"PERÍCIA","2016-11-18","001/1.16.0115918-9"
"JULGAMENTO","2016-11-10","0020731-32.2016.5.04.0030"
"INSTRUÇÃO","2016-11-16","0021558-16.2015.5.04.0406"
"PERÍCIA","2017-01-26",""
"PERÍCIA","2017-02-17","001/1.16.0049147-3"
"OITIVA DE TESTEMUNHAS","2016-09-21",""
"JULGAMENTO","2016-09-22","0020019-47.2013.5.04.0030"
"JULGAMENTO","2016-08-10","5054472-29.2015.4.04.7100"
"JULGAMENTO","2016-10-19","5073894-87.2015.4.04.7100"
"JULGAMENTO","2016-10-11","0020789-06.2014.5.04.0030"
"JULGAMENTO","2016-10-13","0020419-27.2014.5.04.0030"
"JULGAMENTO","2016-11-24","0020379-11.2015.5.04.0030"
"PERÍCIA","2016-11-23",""
"PERÍCIA","2016-10-31",""
"PERÍCIA","2016-10-18","0020160-61.2016.5.04.0030"
"JULGAMENTO","2016-10-13","0020271-21.2014.5.04.0772"
"INSTRUÇÃO","2016-10-18","0020952-49.2015.5.04.0030"
"INSTRUÇÃO","2016-10-18",""
"PERÍCIA","2016-10-25","086/1.16.0001284-8"
"INSTRUÇÃO","2016-10-28","0020593-02.2015.5.04.0030"
"JULGAMENTO","2016-11-29","5004264-83.2016.4.04.7107"
"INICIAL","2016-12-07",""
"PERÍCIA","2016-12-09",""
"PERÍCIA","2016-12-01","001/1.15.0037804-7"
"PERÍCIA","2017-04-11",""
"INICIAL","2017-12-18","0021701-40.2017.5.04.0016"
"JULGAMENTO","2017-06-28","142359- 70.2017.8.21.7000"
"OITIVA DE TESTEMUNHAS","2018-04-19","0001241-23.2017.5.06.0001"
"PERÍCIA","2018-01-30","0021965-15.2017.5.04.0030"
"PERÍCIA","2017-03-07","001/1.15.0178337-9"
"PERÍCIA","2017-03-07","001/1.16.0157161-6"
"PERÍCIA","2017-03-14","001/1.16.0054193-4"
"JULGAMENTO","2017-02-01","5030366-66.2016.4.04.7100"
"JULGAMENTO","2016-12-19","001/1.13.0322267-2"
"PERÍCIA","2016-12-19","001/1.16.0037129-0"
"PERÍCIA","2016-12-22",""
"PERÍCIA","2017-03-21","001/1.15.0037804-7"
"INICIAL","2017-03-21","0021669-63.2016.5.04.0406"
"INICIAL","2017-03-23","0022606-37.2016.5.04.0030"
"PERÍCIA","2017-01-02",""
"PERÍCIA","2017-01-05","5058425-64.2016.4.04.7100"
